Name,Location,RSVP,Past_Attendance,Attended,Distance
Mohan Goswami,Ballia,No,No,Yes,1732.04
Nisha Verma,"Hamilton, New Zealand",No,No,Yes,11791.83
Lokesh Gupta,"Minneapolis, USA",Yes,Yes,Yes,13482.98
Rajesh Das,Jorhat,No,No,Yes,2534.96
Nandini Reddy,"Wellington, New Zealand",Yes,Yes,Yes,11772.73
Sonia Rao,"Belo Horizonte, Brazil",No,No,Yes,13483.85
Divya Menon,Etawah,Yes,No,Yes,1590.63
Lakshay Yadav,Neemuch,Yes,Yes,Yes,1297.38
Zeeshan Shetty,"Chengdu, China",Yes,No,Yes,3584.46
Abhinav Singh,Nainital,Yes,No,Yes,1885.39
Saurabh Naidu,Gandhinagar,No,No,Yes,1164.64
Aakash Goswami,"Colombo, Sri Lanka",Yes,No,Yes,858.45
Gaurav Verma,"Nagoya, Japan",Yes,No,Yes,6661.39
Hardik Reddy,"Gothenburg, Sweden",No,No,Yes,7203.27
Isha Goswami,"Atlanta, USA",Yes,No,Yes,14395.12
Farida Aggarwal,"Dubai, UAE",Yes,No,Yes,2464.59
Dhanush Menon,Sonipat,Yes,Yes,Yes,1794.63
Sandeep Prasad,Nashik,No,No,Yes,793.59
Faisal Bhatt,"Valparaíso, Chile",No,Yes,Yes,15955.55
Farida Aggarwal,Rudrapur,Yes,No,Yes,1838.92
Chandan Das,Farrukhabad,Yes,Yes,Yes,1678.6
Karan Thakur,Bharatpur,No,No,Yes,1582.68
Tanvi Verma,Bilaspur,No,Yes,Yes,1282.13
Manish Iyer,Kochi,Yes,Yes,Yes,359.39
Ekta Chauhan,"Ottawa, Canada",Yes,No,Yes,12901.41
Mona Deshmukh,Faizabad,No,Yes,Yes,2966.36
Leela Nair,Rohtak,No,Yes,Yes,1779.08
Nandini Reddy,"Canberra, Australia",No,No,Yes,9448.21
Uday Yadav,"Riga, Latvia",Yes,Yes,Yes,6494.43
Yasmin Mishra,Ballia,Yes,No,Yes,1732.04
Raghav Rao,Silvassa,No,Yes,Yes,838.04
Uday Sharma,Satna,No,No,Yes,1445.13
Farah Kapoor,"Zurich, Switzerland",No,No,Yes,7182.56
Jagdish Mehta,Itarsi,No,No,Yes,1117.09
Charu Aggarwal,Betul,No,No,Yes,1042.73
Harish Sharma,"Hanoi, Vietnam",No,Yes,Yes,3414.49
Bharat Jha,Itanagar,Yes,No,Yes,2508.2
Ishita Nair,"Penang, Malaysia",No,No,Yes,2909.93
Yasmin Mishra,Ajmer,No,Yes,Yes,1500.77
Gitanjali Goswami,Udaipur,No,Yes,Yes,1297.03
Hina Reddy,"Cape Town, South Africa",No,Yes,Yes,7906.46
Zaina Naidu,"Cebu, Philippines",Yes,No,Yes,5338.59
Raghav Nair,Ujjain,No,Yes,Yes,1141.32
Indu Bhatt,Aizawl,No,Yes,Yes,2234.48
Chetanya Nair,"Toulouse, France",No,Yes,Yes,7697.73
Zoravar Naidu,Jhansi,No,Yes,Yes,1452.18
Zaina Naidu,Daltonganj,Yes,No,Yes,1567.97
Falguni Bhatt,"Hangzhou, China",Yes,No,Yes,5032.51
Omkar Prasad,Anantapur,Yes,No,Yes,342.91
Brijesh Mishra,Jammu,No,Yes,Yes,2193.33
Vidya Iyer,Alwar,No,Yes,Yes,1615.74
Neha Sharma,Chaibasa,No,Yes,Yes,1576.24
Dhanush Menon,"Paris, France",No,No,Yes,7661.31
Zayan Prasad,Kakinada,Yes,Yes,Yes,910.32
Farah Kapoor,Panaji,Yes,No,Yes,306.75
Ekansh Jha,Belgaum,Yes,No,Yes,327.81
Samar Iyer,"Nairobi, Kenya",No,Yes,Yes,4484.65
Jagdish Sinha,Sonipat,Yes,No,Yes,1794.63
Sandeep Prasad,"San Diego, USA",Yes,No,Yes,14796.67
Parul Khan,"Toronto, Canada",Yes,Yes,Yes,13219.41
Tanmay Mehta,"Canberra, Australia",No,Yes,Yes,9448.21
Kamal Jha,Ghazipur,Yes,No,Yes,1672.01
Urvashi Naidu,Vadodara,No,No,Yes,1053.34
Omkar Prasad,"Athens, Greece",No,No,Yes,5751.53
Nitin Reddy,Ujjain,Yes,No,Yes,1141.32
Chandan Aggarwal,Junagadh,No,No,Yes,1061.05
Lata Gupta,Visakhapatnam,Yes,No,Yes,1048.75
Zaina Naidu,Rohtak,Yes,Yes,Yes,1779.08
Tanmay Naidu,Kullu,Yes,Yes,Yes,2121.51
Aniket Sinha,Ranchi,No,Yes,Yes,1600.57
Zeeshan Shetty,"Vienna, Austria",Yes,No,Yes,6627.98
Tarun Shetty,Raipur,Yes,Yes,Yes,1169.58
Tushar Khan,Saharanpur,Yes,Yes,Yes,1909.93
Harsha Thakur,Bhilwara,No,No,Yes,1393.12
Garima Deshmukh,"Milan, Italy",No,No,Yes,7102.28
Chetan Bhatt,Bhavnagar,Yes,No,Yes,1021.8
Lokesh Gupta,Itarsi,No,Yes,Yes,1117.09
Lalit Mehta,"Geneva, Switzerland",No,No,Yes,7347.1
Lokesh Aggarwal,"Medellín, Colombia",No,Yes,Yes,16131.4
Madhav Mishra,"Manchester, UK",Yes,Yes,Yes,8010.68
Eshwar Reddy,"Paris, France",No,No,Yes,7661.31
Yash Thakur,"Kampala, Uganda",No,Yes,Yes,4867.14
Faisal Goswami,"Amsterdam, Netherlands",No,No,Yes,7521.79
Uma Das,Banda,Yes,Yes,Yes,1510.53
Garima Deshmukh,"Sydney, Australia",Yes,Yes,Yes,9580.09
Uday Sharma,Silvassa,No,Yes,Yes,838.04
Omkar Khan,"Accra, Ghana",Yes,No,Yes,8263.33
Faizan Nair,Gonda,No,No,Yes,1735.82
Zoravar Naidu,"Minneapolis, USA",Yes,Yes,Yes,13482.98
Faisal Bhatt,Ambala,Yes,Yes,Yes,1944.52
Lalit Mehta,"Manchester, UK",Yes,Yes,Yes,8010.68
Yogesh Prasad,"Valparaíso, Chile",Yes,No,Yes,15955.55
Aakash Goswami,"Medellín, Colombia",No,Yes,Yes,16131.4
Zubin Kapoor,"Cork, Ireland",No,No,Yes,8432.6
Girish Mehta,Kavaratti,No,No,Yes,354.64
Gopal Jha,Kakinada,No,Yes,Yes,910.32
Yamini Shetty,Bharatpur,No,No,Yes,1582.68
Devendra Thakur,"Taipei, Taiwan",No,No,Yes,5071.48
Vidya Iyer,Unnao,Yes,No,Yes,1627.01
Oma Nair,Itanagar,Yes,No,Yes,2508.2
Pranav Verma,Dharwad,Yes,No,Yes,273.45
Lalit Rao,Varanasi,Yes,No,Yes,1619.33
Zaina Naidu,Sambhal,Yes,Yes,Yes,1759.95
Harsh Bhatt,Kathua,Yes,Yes,Yes,2156.48
Ekta Thakur,Dharwad,No,No,Yes,273.45
Yash Thakur,"Rio de Janeiro, Brazil",No,No,Yes,13421.77
Govind Sinha,"Riga, Latvia",No,Yes,Yes,6494.43
Meera Reddy,Salem,Yes,No,Yes,13349.78
Vaishali Yadav,Haldwani,No,Yes,Yes,1868.38
Jatin Iyer,"Bangkok, Thailand",No,Yes,Yes,2777.78
Harini Thakur,Sonipat,No,No,Yes,1794.63
Keshav Nair,"Quito, Ecuador",No,Yes,Yes,16773.88
Chhavi Nair,Haldwani,No,Yes,Yes,1868.38
Tanvi Verma,"Eindhoven, Netherlands",Yes,No,Yes,7467.58
Eshwar Shetty,"Lagos, Nigeria",No,Yes,Yes,7853.43
Dipti Chauhan,"Wellington, New Zealand",Yes,Yes,Yes,11772.73
Anirudh Chauhan,"Salt Lake City, USA",Yes,Yes,Yes,14021.65
Gopal Jha,Ajmer,Yes,Yes,Yes,1500.77
Sonia Rao,"Austin, USA",Yes,No,Yes,15160.97
Prakash Rao,"Kaohsiung, Taiwan",Yes,No,Yes,4918.91
Isha Goswami,Ahmedabad,Yes,No,Yes,1144.31
Jeevan Goswami,"Atlanta, USA",No,No,Yes,14395.12
Tanvi Verma,"Kaohsiung, Taiwan",Yes,Yes,Yes,4918.91
Bhavesh Shetty,"Edinburgh, UK",Yes,No,Yes,8083.0
Farah Kapoor,Moradabad,Yes,No,Yes,1814.51
Naveen Gupta,"Krakow, Poland",No,No,Yes,6441.84
Tushar Khan,"Nairobi, Kenya",No,No,Yes,4484.65
Hitesh Reddy,Malda,No,No,Yes,1933.4
Faizan Nair,"Quito, Ecuador",Yes,Yes,Yes,16773.88
Bhavna Thakur,"Vilnius, Lithuania",No,Yes,Yes,6312.78
Kiran Reddy,Port Blair,No,No,Yes,1949.91
Nikhil Verma,"Zurich, Switzerland",No,No,Yes,7182.56
Rohan Sharma,Tiruchirappalli,No,No,Yes,478.16
Madhur Deshmukh,"Beijing, China",No,Yes,Yes,5054.52
Zayan Aggarwal,Agra,Yes,No,Yes,1612.7
Simran Gupta,"London, UK",Yes,Yes,Yes,7856.87
Aarohi Sinha,Mathura,Yes,Yes,Yes,1640.99
Deepika Goswami,Srinagar,Yes,No,Yes,2343.75
Gopal Deshmukh,Guntur,No,No,Yes,709.46
Zohra Naidu,Guntur,Yes,Yes,Yes,709.46
Nitin Reddy,Neemuch,No,Yes,Yes,1297.38
Kajal Jha,"Osaka, Japan",No,Yes,Yes,6528.98
Divya Menon,Raebareli,Yes,No,Yes,1615.24
Esha Jha,"Caracas, Venezuela",Yes,No,Yes,15072.33
Yogesh Prasad,Tirupati,No,No,Yes,501.24
Girish Menon,Bharatpur,No,Yes,Yes,1582.68
Pankaj Mishra,"Milan, Italy",Yes,No,Yes,7102.28
Chirag Mehta,Guwahati,No,No,Yes,2297.74
Saurabh Naidu,Nizamabad,No,Yes,Yes,725.72
Yashwant Iyer,Jodhpur,Yes,No,Yes,1493.69
Bhavya Nair,Gandhinagar,Yes,No,Yes,1164.64
Devansh Goswami,Alwar,Yes,Yes,Yes,1615.74
Nisha Verma,Jamnagar,No,Yes,Yes,1173.86
Charulata Menon,"Porto Alegre, Brazil",No,No,Yes,14186.38
Yamini Shetty,Dharwad,No,No,Yes,273.45
Zubin Kapoor,Una,Yes,No,Yes,6547.94
Mona Deshmukh,"Ottawa, Canada",Yes,No,Yes,12901.41
Dhanush Menon,"Krakow, Poland",Yes,Yes,Yes,6441.84
Sonia Rao,Silchar,No,Yes,Yes,2299.91
Charulata Menon,"Luxembourg City, Luxembourg",No,Yes,Yes,7394.2
Bhavya Nair,"Oslo, Norway",No,No,Yes,7340.18
Tanmay Chauhan,"Lisbon, Portugal",Yes,No,Yes,8608.42
Gopal Jha,"Victoria, Canada",Yes,Yes,Yes,12976.59
Eshan Nair,Satna,No,No,Yes,1445.13
Samar Nair,Pune,Yes,Yes,Yes,629.69
Damini Sinha,Almora,Yes,No,Yes,1918.02
Tanvi Verma,Itanagar,Yes,No,Yes,2508.2
Raghav Reddy,Midnapore,Yes,Yes,Yes,1688.8
Heena Jha,"San Francisco, USA",Yes,Yes,Yes,14112.29
Indrajit Gupta,Betul,Yes,No,Yes,1042.73
Farah Kapoor,"Accra, Ghana",No,Yes,Yes,8263.33
Tarun Shetty,Amritsar,Yes,No,Yes,2073.25
Pooja Sharma,"Luxembourg City, Luxembourg",No,Yes,Yes,7394.2
Aniket Sinha,Belgaum,Yes,Yes,Yes,327.81
Hina Reddy,Betul,Yes,No,Yes,1042.73
Yashwant Iyer,Asansol,Yes,No,Yes,1748.26
Garima Deshmukh,Ghazipur,Yes,Yes,Yes,1672.01
Esha Jha,"Riyadh, Saudi Arabia",Yes,No,Yes,3321.87
Yogesh Prasad,"Berlin, Germany",No,Yes,Yes,6958.28
Keshav Nair,Jhunjhunu,Yes,Yes,Yes,1680.1
Jagdish Sinha,Rudrapur,No,Yes,Yes,1838.92
Jagdish Mehta,Daltonganj,No,No,Yes,1567.97
Jatin Iyer,"Edinburgh, UK",No,No,Yes,8083.0
Gaurav Verma,Pune,Yes,Yes,Yes,629.69
Vikas Das,Haldwani,No,Yes,Yes,1868.38
Simran Gupta,Shahjahanpur,No,No,Yes,1736.68
Oma Nair,Rishikesh,No,Yes,Yes,1936.58
Bhavya Nair,Gandhinagar,No,Yes,Yes,1164.64
Oindrila Mehta,Chaibasa,No,Yes,Yes,1576.24
Vandana Rao,Agra,No,No,Yes,1612.7
Lalit Rao,"Phoenix, USA",No,Yes,Yes,14821.35
Harsh Bhatt,Srinagar,Yes,Yes,Yes,2343.75
Chandan Aggarwal,Firozabad,Yes,No,Yes,1624.97
Kavita Bhatt,Nellore,Yes,Yes,Yes,580.49
Uday Kapoor,Bhopal,No,Yes,Yes,1176.14
Aaditya Sharma,"Córdoba, Argentina",Yes,No,Yes,15368.2
Girish Menon,Etawah,No,No,Yes,1590.63
Gitanjali Goswami,"Oslo, Norway",Yes,Yes,Yes,7340.18
Prakash Rao,"Raleigh, USA",No,No,Yes,13941.46
Harish Chauhan,Hoshangabad,No,Yes,Yes,1129.28
Eshita Kapoor,Mehsana,Yes,No,Yes,1211.58
Sonia Rao,Ghazipur,No,Yes,Yes,1672.01
Zayan Aggarwal,Yamunanagar,Yes,Yes,Yes,1921.94
Vaishali Yadav,"Boston, USA",Yes,No,Yes,12968.74
Damini Sinha,"Portland, USA",Yes,No,Yes,13298.63
Tejas Yadav,"Sydney, Australia",Yes,Yes,Yes,9580.09
Zubin Kapoor,Aizawl,Yes,Yes,Yes,2234.48
Laxman Bhatt,Haridwar,No,No,Yes,1915.35
Siddharth Gupta,Porbandar,No,No,Yes,1114.92
Hina Aggarwal,Bhopal,Yes,Yes,Yes,1176.14
Pranav Shetty,"Rio de Janeiro, Brazil",No,No,Yes,13421.77
Rashmi Gupta,"Seattle, USA",Yes,Yes,Yes,13088.68
Eshwar Shetty,Vijayawada,Yes,Yes,Yes,736.92
Raghav Rao,Moradabad,No,Yes,Yes,1814.51
Tarun Shetty,Visakhapatnam,Yes,No,Yes,1048.75
Parul Khan,Karimnagar,Yes,No,Yes,763.68
Gitanjali Goswami,Lohardaga,No,No,Yes,1564.22
Ishan Nair,Tehri,No,No,Yes,1970.36
Oma Nair,Hazaribagh,No,Yes,Yes,1668.85
Ishan Nair,"Amsterdam, Netherlands",Yes,No,Yes,7521.79
Yasmin Mishra,"Mombasa, Kenya",No,Yes,Yes,4319.33
Damini Sinha,"Austin, USA",No,No,Yes,15160.97
Gopal Deshmukh,Tehri,No,Yes,Yes,1970.36
Farah Kapoor,"Oslo, Norway",Yes,No,Yes,7340.18
Ekta Thakur,Udaipur,Yes,No,Yes,1297.03
Vihan Gupta,Deoria,Yes,No,Yes,1761.7
Feroz Nair,"Pittsburgh, USA",No,No,Yes,13555.95
Tarun Shetty,"Edinburgh, UK",No,Yes,Yes,8083.0
Harsha Thakur,"Prague, Czech Republic",No,No,Yes,6817.29
Jeevan Reddy,Jalandhar,No,No,Yes,2036.48
Ramesh Iyer,Asansol,No,No,Yes,1748.26
Feroz Nair,Farrukhabad,Yes,No,Yes,1678.6
Utkarsh Mishra,"Brasília, Brazil",Yes,Yes,Yes,14373.09
Darshan Desai,"Stuttgart, Germany",Yes,No,Yes,7160.43
Zara Nair,Jaunpur,No,No,Yes,1634.96
Faisal Goswami,Ghazipur,No,No,Yes,1672.01
Faisal Goswami,Palampur,Yes,Yes,Yes,2132.71
Sonia Rao,Una,No,Yes,Yes,6547.94
Farzana Sinha,Sivasagar,Yes,No,Yes,2584.53
Karan Thakur,Jamshedpur,Yes,Yes,Yes,1624.45
Govind Sinha,Ghazipur,Yes,Yes,Yes,1672.01
Ahaan Kumar,"Pittsburgh, USA",No,No,Yes,13555.95
Omkar Bhatt,"Nagoya, Japan",No,Yes,Yes,6661.39
Juhi Deshmukh,Vapi,Yes,No,Yes,851.21
Omkar Khan,Pune,Yes,Yes,Yes,629.69
Omkar Bhatt,Moradabad,No,Yes,Yes,1814.51
Eklavya Chauhan,Gurugram,Yes,No,Yes,1736.43
Ipsita Aggarwal,"San Francisco, USA",No,Yes,Yes,14112.29
Nitin Reddy,Farrukhabad,Yes,Yes,Yes,1678.6
Saurabh Naidu,Jorhat,Yes,Yes,Yes,2534.96
Kartik Verma,"Riga, Latvia",No,Yes,Yes,6494.43
Nitin Reddy,Mandsaur,No,No,Yes,1257.43
Zayan Aggarwal,Kharagpur,No,Yes,Yes,1681.57
Dilip Prasad,"Nairobi, Kenya",Yes,No,Yes,4484.65
Mohan Khan,"Warsaw, Poland",No,Yes,Yes,6457.25
Oma Nair,Navsari,No,Yes,Yes,912.85
Pranav Shetty,"Algiers, Algeria",No,No,Yes,7547.94
Govind Sinha,Kavaratti,No,Yes,Yes,354.64
Keshav Sharma,Nashik,Yes,Yes,Yes,793.59
Meera Khan,"Brno, Czech Republic",Yes,No,Yes,6640.82
Karan Thakur,Solan,No,No,Yes,7675.21
Lokesh Gupta,Bareilly,No,Yes,Yes,1784.52
Madhav Mishra,Jhansi,Yes,No,Yes,1452.18
Deepak Deshmukh,Jagdalpur,No,Yes,Yes,1026.85
Manish Iyer,Surat,No,No,Yes,942.96
Mona Deshmukh,Dharwad,No,Yes,Yes,273.45
Aniket Sinha,"Córdoba, Argentina",Yes,Yes,Yes,15368.2
Ramesh Iyer,Hubli,No,Yes,Yes,271.43
Tanmay Chauhan,Kolkata,No,Yes,Yes,1785.47
Dipti Chauhan,"Riyadh, Saudi Arabia",Yes,Yes,Yes,3321.87
Eshwar Shetty,Jammu,No,No,Yes,2193.33
Uday Yadav,Kanpur,Yes,No,Yes,1604.8
Harsh Bhatt,"Seoul, South Korea",No,Yes,Yes,5826.0
Pratap Mehta,Anantapur,No,No,Yes,342.91
Zara Nair,"Athens, Greece",No,Yes,Yes,5751.53
Aditi Prasad,Bhiwadi,Yes,No,Yes,1705.29
Ekta Thakur,Jaunpur,Yes,Yes,Yes,1634.96
Uma Rao,"Montreal, Canada",Yes,No,Yes,12803.12
Damini Sinha,Tinsukia,No,Yes,Yes,2674.85
Imran Aggarwal,Satna,Yes,No,Yes,1445.13
Karan Thakur,Banda,Yes,No,Yes,1510.53
Rashmi Gupta,"Boston, USA",Yes,No,Yes,12968.74
Vihan Mishra,"San Francisco, USA",Yes,No,Yes,14112.29
Vihan Gupta,Warangal,Yes,Yes,Yes,757.08
Gopal Jha,"Krakow, Poland",No,No,Yes,6441.84
Oorja Rao,Patna,Yes,Yes,Yes,1770.09
Falguni Bhatt,Ajmer,No,No,Yes,1500.77
Oindrila Gupta,"Marseille, France",Yes,Yes,Yes,7378.63
Ekansh Jha,"Porto, Portugal",No,Yes,Yes,8534.56
Zaina Naidu,"Edinburgh, UK",No,Yes,Yes,8083.0
Mohan Goswami,Hamirpur,No,No,Yes,1519.71
Yash Das,"Salt Lake City, USA",Yes,No,Yes,14021.65
Bhuvan Thakur,"Durban, South Africa",Yes,No,Yes,6671.54
Lalit Rao,Coimbatore,Yes,Yes,Yes,312.09
Nirav Das,Dharamshala,Yes,Yes,Yes,2142.63
Prerna Mehta,Yamunanagar,Yes,No,Yes,1921.94
Damini Sinha,Silchar,No,No,Yes,2299.91
Dhanush Menon,"Boston, USA",Yes,No,Yes,12968.74
Nikhil Jha,Mau,Yes,No,Yes,1711.52
Laxman Bhatt,"Copenhagen, Denmark",Yes,Yes,Yes,7105.24
Harsh Bhatt,"Dhaka, Bangladesh",No,No,Yes,2031.18
Abhishek Yadav,Ranchi,Yes,Yes,Yes,1600.57
Pranav Verma,Hong Kong,Yes,No,Yes,4288.73
Eshwar Shetty,Vadodara,Yes,No,Yes,1053.34
Harsha Thakur,Katni,Yes,Yes,Yes,1324.82
Ishita Nair,"Seattle, USA",Yes,Yes,Yes,13088.68
Mona Deshmukh,Hisar,Yes,Yes,Yes,1810.36
Hina Reddy,Imphal,No,Yes,Yes,2397.98
Jatin Iyer,Singapore,No,Yes,Yes,3439.48
Rohan Sharma,"Denver, USA",Yes,No,Yes,14175.12
Chirag Mehta,Shahjahanpur,Yes,No,Yes,1736.68
Zayan Prasad,Kolhapur,No,No,Yes,424.41
Uma Rao,Giridih,No,No,Yes,1735.53
Darshan Desai,"Auckland, New Zealand",No,No,Yes,11738.38
Utkarsh Mishra,Moradabad,Yes,No,Yes,1814.51
Vidya Iyer,Karimnagar,No,Yes,Yes,763.68
Prerna Mehta,"Caracas, Venezuela",No,No,Yes,15072.33
Jeevan Reddy,Almora,Yes,No,Yes,1918.02
Uday Yadav,Nellore,No,Yes,Yes,580.49
Fardeen Kapoor,"Munich, Germany",Yes,No,Yes,6973.19
Sonia Rao,Baramulla,No,Yes,Yes,2359.17
Vivek Rao,Madurai,Yes,Yes,Yes,485.42
Hardik Reddy,Porbandar,No,No,Yes,1114.92
Tara Khan,Hoshangabad,No,Yes,Yes,1129.28
Jatin Iyer,Guntur,Yes,Yes,Yes,709.46
Aditi Prasad,"Boston, USA",Yes,No,Yes,12968.74
Manish Sharma,Chandigarh,Yes,Yes,Yes,1983.09
Chirag Mehta,"Abuja, Nigeria",Yes,Yes,Yes,7355.58
Zayan Aggarwal,Itanagar,Yes,No,Yes,2508.2
Pankaj Mishra,"Milan, Italy",Yes,No,Yes,7102.28
Bhavin Joshi,"Incheon, South Korea",Yes,No,Yes,5799.64
Bhavesh Shetty,Kavaratti,Yes,No,Yes,354.64
Eshwar Reddy,"Penang, Malaysia",No,No,Yes,2909.93
Prerna Mehta,"Shanghai, China",No,Yes,Yes,5174.01
Bhuvan Thakur,Vadodara,No,Yes,Yes,1053.34
Bhavin Joshi,"Medellín, Colombia",Yes,Yes,Yes,16131.4
Chhavi Nair,Gonda,Yes,No,Yes,1735.82
Divya Menon,Junagadh,Yes,No,Yes,1061.05
Harini Thakur,Bankura,No,Yes,Yes,1727.24
Gaurav Verma,"Geneva, Switzerland",No,Yes,Yes,7347.1
Laxman Bhatt,Coimbatore,Yes,Yes,Yes,312.09
Harsh Bhatt,"Sydney, Australia",No,No,Yes,9580.09
Harsh Bhatt,Etah,No,No,Yes,1667.09
Prerna Mehta,"Hangzhou, China",No,Yes,Yes,5032.51
Oindrila Mehta,Pulwama,Yes,Yes,Yes,2329.88
Tarun Shetty,"Manila, Philippines",Yes,No,Yes,4983.42
Sneha Khan,"Seattle, USA",No,No,Yes,13088.68
Pooja Sharma,Seoni,Yes,Yes,Yes,1157.21
Vidya Iyer,"Ottawa, Canada",No,Yes,Yes,12901.41
Fardeen Kapoor,"London, UK",Yes,Yes,Yes,7856.87
Nitin Reddy,Hubli,No,No,Yes,271.43
Lavanya Bhatt,Sehore,Yes,No,Yes,1152.99
Saurabh Naidu,"Lima, Peru",Yes,Yes,Yes,16980.51
Vikas Das,Unnao,No,Yes,Yes,1627.01
Lokesh Aggarwal,Tinsukia,No,Yes,Yes,2674.85
Yash Das,Chittorgarh,Yes,No,Yes,1307.14
Ishan Nair,Ratlam,Yes,No,Yes,1172.0
Oorja Rao,Pondicherry,No,Yes,Yes,582.85
Simran Gupta,"Eindhoven, Netherlands",Yes,Yes,Yes,7467.58
Raghav Rao,"Helsinki, Finland",Yes,Yes,Yes,6624.31
Tanmay Chauhan,Thrissur,No,Yes,Yes,302.75
Manish Iyer,Gandhinagar,No,Yes,Yes,1164.64
Gopal Deshmukh,Anantapur,No,Yes,Yes,342.91
Aarohi Sinha,"London, UK",Yes,No,Yes,7856.87
Vihan Sinha,"Tokyo, Japan",Yes,Yes,Yes,6924.93
Damini Sinha,Faizabad,Yes,Yes,Yes,2966.36
Divya Menon,"Vancouver, Canada",Yes,Yes,Yes,12895.59
Arjun Prasad,"Osaka, Japan",Yes,Yes,Yes,6528.98
Vihan Sinha,Vijayawada,Yes,Yes,Yes,736.92
Oindrila Mehta,"Raleigh, USA",No,Yes,Yes,13941.46
Vihan Gupta,"Krakow, Poland",No,Yes,Yes,6441.84
Isha Goswami,"Brisbane, Australia",Yes,No,Yes,9533.1
Gaurav Verma,Guntur,Yes,No,Yes,709.46
Tanmay Naidu,Tirupati,Yes,Yes,Yes,501.24
Urvashi Naidu,Allahabad (Prayagraj),No,Yes,Yes,1567.71
Lokesh Gupta,Sitapur,No,No,Yes,1730.86
Raghav Reddy,"Cape Town, South Africa",Yes,No,Yes,7906.46
Samar Iyer,Ahmedabad,No,No,Yes,1144.31
Aarushi Shetty,"Pittsburgh, USA",Yes,No,Yes,13555.95
Mohan Goswami,Dantewada,No,Yes,Yes,959.99
Yashwant Iyer,"Brno, Czech Republic",No,No,Yes,6640.82
Sneha Khan,Leh,Yes,Yes,Yes,2369.81
Zeeshan Shetty,Vadodara,Yes,Yes,Yes,1053.34
Tanvi Verma,Thiruvananthapuram,No,Yes,Yes,540.36
Charulata Menon,"Brno, Czech Republic",No,Yes,Yes,6640.82
Ishan Nair,Port Blair,No,Yes,Yes,1949.91
Prakash Rao,Lucknow,Yes,Yes,Yes,1666.92
Varun Menon,Daltonganj,No,No,Yes,1567.97
Tanvi Verma,Durgapur,Yes,Yes,Yes,1765.71
Isha Goswami,Palwal,Yes,Yes,Yes,1696.34
Damini Sinha,Haridwar,Yes,No,Yes,1915.35
Advik Gupta,Kurukshetra,No,Yes,Yes,1899.65
Pankaj Mishra,"Tokyo, Japan",Yes,Yes,Yes,6924.93
Dhanush Menon,Sikar,No,Yes,Yes,1632.93
Yogesh Prasad,"Brasília, Brazil",No,Yes,Yes,14373.09
Harish Chauhan,"Phoenix, USA",Yes,No,Yes,14821.35
Aarohi Sinha,"Atlanta, USA",Yes,Yes,Yes,14395.12
Pankaj Mishra,Dehradun,No,No,Yes,1955.72
Hina Aggarwal,"Bologna, Italy",Yes,Yes,Yes,6918.04
Devendra Thakur,Korba,No,Yes,Yes,1344.98
Samar Iyer,Eluru,Yes,No,Yes,793.85
Uday Sharma,Dharamshala,No,No,Yes,2142.63
Lata Gupta,Haridwar,No,No,Yes,1915.35
Ramesh Iyer,"Dubai, UAE",Yes,No,Yes,2464.59
Chhavi Nair,"Kaohsiung, Taiwan",No,Yes,Yes,4918.91
Faizan Nair,Satna,Yes,No,Yes,1445.13
Aditi Prasad,Navsari,Yes,No,Yes,912.85
Urvashi Verma,"Rome, Italy",Yes,No,Yes,6781.0
Jagdish Mehta,Chhindwara,No,Yes,Yes,1110.22
Faisal Goswami,Jodhpur,No,Yes,Yes,1493.69
Harish Chauhan,Guntur,No,No,Yes,709.46
Sandeep Prasad,"Auckland, New Zealand",Yes,Yes,Yes,11738.38
Fardeen Kapoor,"Manila, Philippines",Yes,No,Yes,4983.42
Nandini Reddy,Ludhiana,Yes,No,Yes,1995.3
Vihan Sinha,Etawah,No,Yes,Yes,1590.63
Sneha Khan,Tehri,Yes,No,Yes,1970.36
Eklavya Chauhan,"Asunción, Paraguay",No,No,Yes,14876.29
Girish Mehta,Nainital,Yes,Yes,Yes,1885.39
Jasmine Goswami,Deoria,Yes,No,Yes,1761.7
Imran Aggarwal,Ludhiana,No,No,Yes,1995.3
Manish Sharma,"Doha, Qatar",No,No,Yes,2803.8
Jaya Jha,Ambala,Yes,No,Yes,1944.52
Lalit Rao,"Brasília, Brazil",No,No,Yes,14373.09
Uday Kapoor,Coimbatore,No,Yes,Yes,312.09
Deepak Deshmukh,"Manila, Philippines",Yes,No,Yes,4983.42
Jagdish Mehta,"Warsaw, Poland",No,Yes,Yes,6457.25
Laxman Bhatt,"Waterloo, Canada",No,Yes,Yes,13281.33
Falguni Bhatt,Thiruvananthapuram,No,No,Yes,540.36
Jagdish Sinha,Jammu,No,No,Yes,2193.33
Nikhil Verma,Beawar,No,No,Yes,1460.73
Uma Rao,Hisar,Yes,No,Yes,1810.36
Hina Reddy,Kota,No,No,Yes,1361.15
Siddharth Gupta,Pune,No,No,Yes,629.69
Pranav Deshmukh,"Cebu, Philippines",No,Yes,Yes,5338.59
Aaditya Sharma,"Lima, Peru",Yes,No,Yes,16980.51
Hardik Reddy,Lohardaga,Yes,Yes,Yes,1564.22
Nitin Reddy,"Toulouse, France",No,No,Yes,7697.73
Trisha Iyer,Tiruchirappalli,No,No,Yes,478.16
Meera Reddy,Beawar,Yes,Yes,Yes,1460.73
